#GRT31CR61E226KE01,,
#Not Recommended for New Design,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
23.5,2.226407677450863E-6,
23.625,2.2120245388437245E-6,
23.75,2.19781482195565E-6,
23.875,2.1837748624634213E-6,
24.0,2.1699010505573705E-6,
24.125,2.156189829138499E-6,
24.25,2.1426376921820193E-6,
24.375,2.1292411830157144E-6,
24.5,2.1159968928190655E-6,
24.625,2.102901459061467E-6,
24.75,2.0899515640318577E-6,
24.875,2.0771439333958753E-6,
25.0,2.064475334845106E-6,
