#GRM31CR71H475KA12,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
47.0,1.2411211315282292E-6,
47.25,1.2328674313697032E-6,
47.5,1.2247061565925417E-6,
47.75,1.2166358950915655E-6,
48.0,1.2086552532577347E-6,
48.25,1.2007628558874606E-6,
48.5,1.1929573460832556E-6,
48.75,1.1852373851468646E-6,
49.0,1.1776016524660998E-6,
49.25,1.170048845394496E-6,
49.5,1.1625776791255908E-6,
49.75,1.1551868865615628E-6,
50.0,1.147875218176602E-6,
