#GRM21BR61H106KE43,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
47.25,6.868331379646175E-7,
47.5,6.837460510254122E-7,
47.75,6.807066833657422E-7,
48.0,6.777146204989638E-7,
48.25,6.747694579120681E-7,
48.5,6.718708008141259E-7,
48.75,6.690182638956637E-7,
49.0,6.662114710989932E-7,
49.25,6.634500553986084E-7,
49.5,6.607336585914843E-7,
49.75,6.580619310968275E-7,
50.0,6.554345317648365E-7,
