#GRM186R60J226ME15,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,1.6230299599703704E-5,
0.0315,1.6285185712771686E-5,
0.063,1.6329422235844964E-5,
0.0945,1.6363310485994034E-5,
0.126,1.6387163871836586E-5,
0.1575,1.6401305928716575E-5,
0.189,1.640606845327725E-5,
0.2205,1.6401789740675786E-5,
0.252,1.6388812926536108E-5,
0.2835,1.6367484434693546E-5,
0.315,1.633815253083604E-5,
0.34650000000000003,1.6301165981345376E-5,
0.378,1.62568728158803E-5,
0.4095,1.6205619191645766E-5,
0.441,1.6147748356734464E-5,
0.47250000000000003,1.6083599709486347E-5,
0.504,1.6013507950420702E-5,
0.5355,1.5937802323025688E-5,
0.567,1.5856805939424124E-5,
0.5985,1.5770835186763217E-5,
0.63,1.5680199210102308E-5,
0.6615,1.5585199467440395E-5,
0.6930000000000001,1.548612935251988E-5,
0.7245,1.5383273881109833E-5,
0.756,1.527690943639913E-5,
0.7875,1.5167303569331514E-5,
0.819,1.5054714849711604E-5,
0.8505,1.4939392764088966E-5,
0.882,1.4821577656533538E-5,
0.9135,1.4701500708555449E-5,
0.9450000000000001,1.4579383954623677E-5,
0.9765,1.4455440329831065E-5,
1.008,1.4329873746490925E-5,
1.0395,1.4202879196599778E-5,
1.071,1.4074642877230743E-5,
1.1025,1.3945342336209434E-5,
1.134,1.3815146635431647E-5,
1.1655,1.3684216529532123E-5,
1.197,1.355270465764617E-5,
1.2285,1.3420755746192559E-5,
1.26,1.3288506820847015E-5,
1.2915,1.3156087425904336E-5,
1.323,1.3023619849449004E-5,
1.3545,1.2891219352867981E-5,
1.3860000000000001,1.2758994403371595E-5,
1.4175,1.26270469083202E-5,
1.449,1.2495472450245943E-5,
1.4805,1.2364360521608664E-5,
1.512,1.223379475838772E-5,
1.5435,1.2103853171746234E-5,
1.575,1.1974608377043063E-5,
1.6065,1.1846127819627158E-5,
1.638,1.1718473996852112E-5,
1.6695,1.1591704675847372E-5,
1.701,1.1465873106698324E-5,
1.7325,1.134102823063676E-5,
1.764,1.1217214883012149E-5,
1.7955,1.109447399082836E-5,
1.827,1.0972842764604408E-5,
1.8585,1.085235488451215E-5,
1.8900000000000001,1.0733040680603141E-5,
1.9215,1.0614927307131392E-5,
1.953,1.0498038910905483E-5,
1.9845,1.0382396793663512E-5,
2.016,1.0268019568503851E-5,
2.0475,1.0154923310410885E-5,
2.079,1.0043121700925721E-5,
2.1105,9.932626167064704E-6,
2.142,9.823446014521222E-6,
2.1735,9.715588555349293E-6,
2.205,9.609059230124981E-6,
2.2365,9.503861724835968E-6,
2.268,9.399998082520988E-6,
2.2995,9.29746880986661E-6,
2.331,9.196272978879084E-6,
2.3625,9.096408323777241E-6,
2.394,8.99787133324427E-6,
2.4255,8.900657338227715E-6,
2.457,8.804760595403472E-6,
2.4885,8.71017436643856E-6,
2.52,8.61689099327103E-6,
2.5515,8.524901969490216E-6,
2.583,8.434198007981465E-6,
2.6145,8.344769105025635E-6,
2.646,8.256604600926485E-6,
2.6775,8.169693237350627E-6,
2.709,8.084023211536284E-6,
2.7405,7.99958222743463E-6,
2.7720000000000002,7.916357543998587E-6,
2.8035,7.834336020680195E-6,
2.835,7.753504160320584E-6,
2.8665,7.673848149484724E-6,
2.898,7.595353896424336E-6,
2.9295,7.518007066736188E-6,
2.961,7.441793116848288E-6,
2.9925,7.366697325426332E-6,
3.024,7.292704822821686E-6,
3.0555,7.219800618620299E-6,
3.087,7.147969627437576E-6,
3.1185,7.077196692996619E-6,
3.15,7.007466610630729E-6,
3.1815,6.938764148239896E-6,
3.213,6.871074065822706E-6,
3.2445,6.804381133638936E-6,
3.276,6.738670149069889E-6,
3.3075,6.6739259522792565E-6,
3.339,6.6101334406914455E-6,
3.3705,6.547277582406244E-6,
3.402,6.48534342855741E-6,
3.4335,6.424316124710604E-6,
3.465,6.36418092134659E-6,
3.4965,6.3049231834655245E-6,
3.528,6.246528399386251E-6,
3.5595,6.188982188777174E-6,
3.591,6.132270309961147E-6,
3.6225,6.0763786665395755E-6,
3.654,6.021293313375612E-6,
3.6855,5.967000461984545E-6,
3.717,5.913486485351406E-6,
3.7485,5.8607379222366015E-6,
3.7800000000000002,5.808741480947747E-6,
3.8115,5.757484042699045E-6,
3.843,5.706952664492352E-6,
3.8745,5.657134581616232E-6,
3.906,5.608017209745212E-6,
3.9375,5.5595881467083085E-6,
3.969,5.511835173900662E-6,
4.0005,5.464746257407982E-6,
4.032,5.418309548821882E-6,
4.0635,5.372513385801963E-6,
4.095,5.327346292386759E-6,
4.1265,5.282796979066197E-6,
4.158,5.238854342652262E-6,
4.1895,5.195507465926586E-6,
4.221,5.15274561714034E-6,
4.2525,5.110558249305927E-6,
4.284,5.0689349993587535E-6,
4.3155,5.027865687164321E-6,
4.347,4.9873403143894005E-6,
4.3785,4.9473490632659055E-6,
4.41,4.907882295222346E-6,
4.4415000000000004,4.868930549422449E-6,
4.473,4.830484541226024E-6,
4.5045,4.7925351605447725E-6,
4.536,4.755073470121093E-6,
4.5675,4.718090703758623E-6,
4.599,4.6815782644751805E-6,
4.6305,4.645527722599184E-6,
4.662,4.609930813823984E-6,
4.6935,4.574779437221038E-6,
4.725,4.5400656531973745E-6,
4.7565,4.50578168144855E-6,
4.788,4.4719198988580675E-6,
4.8195,4.438472837378437E-6,
4.851,4.4054331819062475E-6,
4.8825,4.372793768122786E-6,
4.914,4.340547580327938E-6,
4.9455,4.3086877492681E-6,
4.977,4.277207549964358E-6,
5.0085,4.246100399505684E-6,
5.04,4.2153598548864595E-6,
5.0715,4.184979610802611E-6,
5.103,4.154953497491842E-6,
5.1345,4.1252754785296644E-6,
5.166,4.0959396486865395E-6,
5.1975,4.066940231754948E-6,
5.229,4.038271578398776E-6,
5.2605,4.009928164033539E-6,
5.292,3.981904586682863E-6,
5.3235,3.954195564874641E-6,
5.355,3.9267959355657405E-6,
5.3865,3.899700652043949E-6,
5.418,3.872904781882302E-6,
5.4495000000000005,3.84640350489499E-6,
5.481,3.820192111128781E-6,
