#GRM21BR61E226ME44,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
23.5,2.0200399132403058E-6,
23.625,2.0069097311037065E-6,
23.75,1.993926548231655E-6,
23.875,1.981093450681827E-6,
24.0,1.9684135649935673E-6,
24.125,1.955890055651531E-6,
24.25,1.9435261227436456E-6,
24.375,1.93132499987879E-6,
24.5,1.9192899523902056E-6,
24.625,1.907424275767494E-6,
24.75,1.8957312943691708E-6,
24.875,1.8842143603646116E-6,
25.0,1.8728768530038914E-6,
